unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1712361600,2024-04-06 00:00:00,ETH/USDT,3318.8,3388.0,3310.3,3362.5,107.10844449,360152.144597625
1712275200,2024-04-05 00:00:00,ETH/USDT,3323.0,3345.0,3211.0,3324.6,242.41824476,805943.696529096
1712188800,2024-04-04 00:00:00,ETH/USDT,3310.5,3435.0,3251.5,3327.6,272.19255892,905747.959062192
1712102400,2024-04-03 00:00:00,ETH/USDT,3277.7,3362.9,3203.0,3312.9,249.76391840,827442.88526736
1712016000,2024-04-02 00:00:00,ETH/USDT,3504.5,3505.2,3222.0,3270.8,323.63986116,1058561.257882128
1711929600,2024-04-01 00:00:00,ETH/USDT,3638.8,3644.4,3419.2,3503.2,161.48187798,565703.314939536
1711843200,2024-03-31 00:00:00,ETH/USDT,3504.9,3650.0,3504.3,3646.3,69.17987787,252250.58867738102
1711756800,2024-03-30 00:00:00,ETH/USDT,3509.0,3561.3,3488.6,3506.1,48.90946511,171481.47562217098
1711670400,2024-03-29 00:00:00,ETH/USDT,3559.0,3580.6,3470.9,3509.4,165.77982039,581787.701676666
1711584000,2024-03-28 00:00:00,ETH/USDT,3499.6,3608.2,3474.2,3560.2,165.18162309,588079.6145250179
1711497600,2024-03-27 00:00:00,ETH/USDT,3586.6,3660.6,3463.6,3501.6,246.37479529,862705.9831874641
1711411200,2024-03-26 00:00:00,ETH/USDT,3589.0,3672.5,3541.7,3586.9,105.22907633,377446.173888077
1711324800,2024-03-25 00:00:00,ETH/USDT,3456.1,3657.4,3424.0,3590.3,194.85257441,699579.197904223
1711238400,2024-03-24 00:00:00,ETH/USDT,3330.0,3471.4,3300.2,3453.1,181.02340977,625091.936276787
1711152000,2024-03-23 00:00:00,ETH/USDT,3330.8,3431.0,3273.0,3361.7,243.35354725,818081.6197903249
1711065600,2024-03-22 00:00:00,ETH/USDT,3491.9,3539.9,3255.2,3335.0,226.65298960,755887.720316
1710979200,2024-03-21 00:00:00,ETH/USDT,3517.4,3585.4,3416.1,3492.1,148.21348912,517576.32535595197
1710892800,2024-03-20 00:00:00,ETH/USDT,3155.8,3534.9,3061.1,3513.3,683.41717429,2401049.5584330573
1710806400,2024-03-19 00:00:00,ETH/USDT,3520.9,3546.7,3115.4,3163.0,469.43428910,1484820.6564233
1710720000,2024-03-18 00:00:00,ETH/USDT,3643.2,3643.2,3460.1,3525.3,109.65837200,386578.6588116
1710633600,2024-03-17 00:00:00,ETH/USDT,3531.6,3678.5,3415.0,3650.8,651.28351407,2377705.853166756
1710547200,2024-03-16 00:00:00,ETH/USDT,3738.4,3779.4,3470.3,3524.1,145.07796334,511269.25060649397
1710460800,2024-03-15 00:00:00,ETH/USDT,3882.9,3931.5,3551.6,3737.1,517.44624811,1933748.373811881
1710374400,2024-03-14 00:00:00,ETH/USDT,4005.0,4008.1,3721.4,3883.0,376.72279025,1462814.59454075
1710288000,2024-03-13 00:00:00,ETH/USDT,3981.0,4080.8,3940.0,4002.5,241.32191185,965890.9521796249
1710201600,2024-03-12 00:00:00,ETH/USDT,4072.0,4091.1,3834.6,3980.6,882.49010020,3512840.09285612
1710115200,2024-03-11 00:00:00,ETH/USDT,3876.0,4076.4,3735.4,4066.5,238.40882856,969489.50133924
